Version: Taxi Continuous/Discontinuous v4.1.9735.16533
TriggerVersion: v4
TaskType: Discontinuous
MazeName: DTL Cam
NumberOfTrials: 1
PosterLocations: 
CompletionWindow: 60000
TimeoutDuration: 10000
IntersessionInterval: 1000
RewardTime: 1000
RewardViewCriteria: 45
RotationSpeed: 5
MovementSpeed: 5
JoystickDeadzone: 0
AngleRestrictionAmount: 0
RequiredDistance: 1
ProximityDistance: 1
DirectionErrorDistance: 0.5
isJoystickEnabled: True
isReverseEnabled: True
isForwardEnabled: True
isRightEnabled: True
isLeftEnabled: True
isYInverted: False
isXInverted: False
RestartOnTrialFail: True
ResetPositionOnTrial: True
FaceRandomDirectionOnStart: False
MultipleWaypoints: False
DisableInterSessionBlackout: True
ResetPositionOnSession: False
EnableDirectionError: False
DisableHint: False
EnableRewardAreaError: False
RewardAreaErrorTime: -1
--- Start of Dataset --- 
 0 0.01079670 -12.8900 0.0600 90.0000
 0 0.01138050 -12.8900 0.0600 90.0000
 0 0.01149190 -12.8900 0.0600 90.0000
 0 0.01261340 -12.8900 0.0600 90.0000
 0 0.01199730 -12.8900 0.0600 90.0000
 0 0.01066580 -12.8900 0.0600 90.0000
 0 0.01325390 -12.8900 0.0600 90.0000
 0 0.01201270 -12.8900 0.0600 90.0000
 0 0.01151240 -12.8900 0.0600 90.0000
 0 0.01226250 -12.8900 0.0600 90.0000
 0 0.01244930 -12.8900 0.0600 90.0000
 0 0.01237960 -12.8900 0.0600 90.0000
 0 0.01179640 -12.8900 0.0600 90.0000
 0 0.01114290 -12.8900 0.0600 90.0000
 0 0.01248690 -12.8900 0.0600 90.0000
 0 0.01058580 -12.8900 0.0600 90.0000
 0 0.01204130 -12.8900 0.0600 90.0000
 0 0.01270540 -12.8900 0.0600 90.0000
 0 0.01179350 -12.8900 0.0600 90.0000
 0 0.01250160 -12.8900 0.0600 90.0000
 0 0.01123590 -12.8900 0.0600 90.0000
 0 0.01289840 -12.8900 0.0600 90.0000
 0 0.01215490 -12.8900 0.0600 90.0000
 0 0.01323430 -12.8900 0.0600 90.0000
 0 0.01253620 -12.8900 0.0600 90.0000
 0 0.01175940 -12.8900 0.0600 90.0000
 0 0.01256490 -12.8900 0.0600 90.0000
 0 0.01128190 -12.8900 0.0600 90.0000
 0 0.01165450 -12.8900 0.0600 90.0000
